"Area","Year","Month","TM"
"AT",1850,"01",-7.8
"AT",1850,"02",-0.8
"AT",1850,"03",-1.9
"AT",1850,"04",5.3
"AT",1850,"05",8.8
"AT",1850,"06",12.7
"AT",1850,"07",13.2
"AT",1850,"08",14.4
"AT",1850,"09",9.1
"AT",1850,"10",3.7
"AT",1850,"11",1.3
"AT",1850,"12",-2.1
"AT",1851,"01",-3.3
"AT",1851,"02",-3.3
"AT",1851,"03",-0.4
"AT",1851,"04",5.7
"AT",1851,"05",5.5
"AT",1851,"06",12.2
"AT",1851,"07",12.8
"AT",1851,"08",13.2
"AT",1851,"09",7.6
"AT",1851,"10",7.9
"AT",1851,"11",-4.1
"AT",1851,"12",-5.1
"AT",1852,"01",-2.9
"AT",1852,"02",-2.4
"AT",1852,"03",-3
"AT",1852,"04",2.3
"AT",1852,"05",9.5
"AT",1852,"06",13.3
"AT",1852,"07",15.1
"AT",1852,"08",14.1
"AT",1852,"09",10.5
"AT",1852,"10",4.9
"AT",1852,"11",4.7
"AT",1852,"12",0.2
"AT",1853,"01",-2.3
"AT",1853,"02",-4.8
"AT",1853,"03",-3.2
"AT",1853,"04",2
"AT",1853,"05",9.2
"AT",1853,"06",12.6
"AT",1853,"07",15.6
"AT",1853,"08",14.7
"AT",1853,"09",10.8
"AT",1853,"10",6.6
"AT",1853,"11",-0.1
"AT",1853,"12",-6.9
"AT",1854,"01",-4.5
"AT",1854,"02",-5.2
"AT",1854,"03",-0.8
"AT",1854,"04",5.2
"AT",1854,"05",10.1
"AT",1854,"06",12
"AT",1854,"07",14.9
"AT",1854,"08",13.1
"AT",1854,"09",10.5
"AT",1854,"10",7
"AT",1854,"11",-2.4
"AT",1854,"12",-2.1
"AT",1855,"01",-7.4
"AT",1855,"02",-4.3
"AT",1855,"03",-0.1
"AT",1855,"04",3.5
"AT",1855,"05",8.5
"AT",1855,"06",13
"AT",1855,"07",14.6
"AT",1855,"08",15.3
"AT",1855,"09",10.5
"AT",1855,"10",9.5
"AT",1855,"11",-0.2
"AT",1855,"12",-8.8
"AT",1856,"01",-2.6
"AT",1856,"02",-1.1
"AT",1856,"03",-1.2
"AT",1856,"04",6.8
"AT",1856,"05",9
"AT",1856,"06",14.5
"AT",1856,"07",12.7
"AT",1856,"08",15.5
